iter	TotalF1:average=Macro	MultiClass
257	0.9698771471	0.08794559276
258	0.9699196356	0.08788851198
259	0.9699432651	0.08784205831
260	0.969926574	0.08776637268
261	0.9699512832	0.08769423939
262	0.9699530157	0.08765425922
263	0.9699575602	0.08761122156
264	0.9699690347	0.08757651606
265	0.969983349	0.0875229409
266	0.9700338467	0.08747035254
267	0.9701136247	0.08741073213
268	0.9701647746	0.08731849276
269	0.9701767115	0.08724882381
270	0.970178444	0.08716436152
271	0.9702547547	0.08711013094
272	0.970230699	0.0870509697
273	0.97026279	0.08699971268
274	0.9702892307	0.08696336118
275	0.9703442965	0.08690581369
276	0.9703523069	0.08683903976
277	0.970355772	0.08679680131
278	0.9703874102	0.08672016072
279	0.9704069204	0.08667198879
280	0.970390223	0.08662542585
281	0.9704522184	0.08656859522
282	0.9704810436	0.08649639328
283	0.9704985966	0.08644513164
284	0.9705211435	0.08640459456
285	0.9704999012	0.08633837586
286	0.9705493162	0.0862866869
287	0.9705664411	0.08624068494
288	0.9706123906	0.08618320213
289	0.9706141232	0.08614193115
290	0.9706071928	0.08608869815
291	0.970654424	0.08601446152
292	0.9706979886	0.08595002128
293	0.9707244284	0.08589752879
294	0.970752399	0.08582863454
295	0.970751747	0.08576096864
296	0.9708109259	0.08568265076
297	0.9708254389	0.08560541626
298	0.9708627238	0.08554553857
299	0.9709015385	0.08548436266
300	0.970898725	0.0854086684
301	0.9709305885	0.08534030528
302	0.9709203952	0.0853035071
303	0.9709563758	0.08524326271
304	0.9709609504	0.08515524599
305	0.9709873893	0.08510295473
306	0.9710298706	0.08503383176
307	0.9710493785	0.08499334314
308	0.9710465647	0.08494128551
309	0.9710424477	0.08489631067
310	0.9710489303	0.08484461119
311	0.9710649728	0.08481743638
312	0.9710242242	0.0847685636
313	0.9710701709	0.08471488639
314	0.9710649728	0.08465601235
315	0.9711143846	0.08457586355
316	0.9711406195	0.08452371329
317	0.9712559308	0.08448610602
318	0.9712789034	0.08445157236
319	0.9712663272	0.08437868067
320	0.9712892998	0.08434172976
321	0.9712502855	0.08429129778
322	0.9712892998	0.0842194597
323	0.9713066271	0.08413618021
324	0.9713198545	0.08410490513
325	0.9713657992	0.08405713545
326	0.9713829221	0.08399139814
327	0.9714208538	0.08393238516
328	0.9714902157	0.08388075074
329	0.9714930303	0.08383940857
330	0.971509071	0.08377753656
331	0.9715108038	0.08374392413
332	0.9715125365	0.08373918703
333	0.971509071	0.08368278309
334	0.9714752567	0.08362229847
335	0.9715056054	0.08357238233
336	0.9715899099	0.08353010662
337	0.9715951083	0.08348064256
338	0.9715435213	0.08343681252
339	0.9715716913	0.08336791734
340	0.9716055051	0.08331874914
341	0.9715790769	0.08327592252
342	0.9716410513	0.08321614978
343	0.9716835374	0.08317106913
344	0.971695667	0.08312999346
345	0.9717667579	0.08307982826
346	0.9717329454	0.08305333058
347	0.9717684907	0.08297804125
348	0.9717736892	0.08291777165
349	0.9717732448	0.08286719681
350	0.9717576363	0.08282646964
351	0.9718510474	0.08276534146
352	0.971854513	0.08271967007
353	0.9718831264	0.08268281759
354	0.9718705526	0.08263733382
355	0.9719771853	0.0825800582
356	0.9719485728	0.08252533681
357	0.9719503057	0.08248505496
358	0.9719318831	0.08248054398
359	0.9720144508	0.08241691511
360	0.9720391542	0.08237274297
361	0.9720001446	0.08232463563
362	0.9719973293	0.0822805167
363	0.9720109851	0.08223962195
364	0.9720151012	0.0821891457
365	0.9720385039	0.08214015474
366	0.9720224648	0.08210174148
367	0.9721045994	0.08207264577
368	0.972109798	0.08204454743
369	0.9721108807	0.08199869074
370	0.9721251865	0.08196436885
371	0.9721379669	0.08191074682
372	0.9721184624	0.08190806101
373	0.9721540055	0.08186791203
374	0.9721483642	0.08184420882
375	0.9721448984	0.08179075816
376	0.9721574713	0.08172328858
377	0.9721362432	0.08165844602
378	0.9721310446	0.08162798698
379	0.9721964891	0.08157224525
380	0.9721947562	0.08153744528
381	0.9721947562	0.08153295843
382	0.9721769848	0.08147641689
383	0.9721999548	0.08143836447
384	0.9722051535	0.08141108452
385	0.9722493605	0.08137104397
386	0.9722211919	0.08132380469
387	0.9722263906	0.08129724264
388	0.972261933	0.08125570328
389	0.9722918344	0.08122386933
390	0.972316537	0.0811804942
391	0.9723538117	0.08111913967
392	0.9723824215	0.08106613219
393	0.9723800387	0.08103503071
394	0.972407557	0.08100359167
395	0.9724235947	0.08097228227
396	0.9724218618	0.08094423682
397	0.9724678003	0.0808890712
398	0.9725154716	0.08084694377
399	0.9725527449	0.08079190626
400	0.9725837291	0.08076209084
401	0.9726439708	0.08071520871
402	0.9725429899	0.08066172478
403	0.972537791	0.08061671878
404	0.9725360581	0.0805597867
